Frame_ID,Pothole_ID,Area_cm2,Center_X,Center_Y
frame-8218,frame-8218_P3,244.39,344,103
frame-8219,frame-8219_P1,162.77,1057,218
frame-8219,frame-8219_P2,194.09,323,85
frame-8220,frame-8220_P1,178.06,1049,224
frame-8220,frame-8220_P2,259.86,354,93
frame-8221,frame-8221_P1,241.17,1079,173
frame-8221,frame-8221_P2,251.51,347,85
frame-8222,frame-8222_P1,211.23,1092,149
frame-8222,frame-8222_P2,247.19,334,72
frame-8223,frame-8223_P1,199.85,1094,144
frame-8223,frame-8223_P2,243.75,310,75
frame-8224,frame-8224_P1,178.26,1096,136
frame-8225,frame-8225_P1,183.64,1104,120
frame-8226,frame-8226_P1,221.89,1101,125
frame-8226,frame-8226_P2,155.15,266,100
frame-8227,frame-8227_P1,220.24,1103,117
frame-8228,frame-8228_P1,214.52,1106,105
frame-8228,frame-8228_P2,154.65,248,93
frame-8229,frame-8229_P1,203.0,1110,98
frame-8230,frame-8230_P1,183.01,1114,89
frame-8230,frame-8230_P2,184.92,228,84
frame-8231,frame-8231_P1,195.38,1119,97
frame-8231,frame-8231_P2,216.39,217,80
frame-8236,frame-8236_P1,186.34,183,90
frame-8237,frame-8237_P1,188.11,533,467
frame-8237,frame-8237_P2,161.94,1094,88
frame-8237,frame-8237_P3,170.75,674,227
frame-8237,frame-8237_P4,226.67,178,82
frame-8238,frame-8238_P1,195.62,533,435
frame-8238,frame-8238_P2,213.86,171,76
frame-8239,frame-8239_P1,317.78,511,469
frame-8239,frame-8239_P2,230.91,675,232
frame-8239,frame-8239_P3,200.42,169,77
frame-8251,frame-8251_P1,348.21,479,343
frame-8252,frame-8252_P1,410.37,484,337
frame-8255,frame-8255_P1,250.44,452,354
frame-8256,frame-8256_P1,311.75,450,305
frame-8257,frame-8257_P1,390.33,447,336
frame-8258,frame-8258_P1,661.18,449,287
frame-8259,frame-8259_P1,552.77,423,308
frame-8260,frame-8260_P1,385.53,396,265
frame-8261,frame-8261_P1,639.96,384,252
frame-8262,frame-8262_P1,459.19,345,203
frame-8263,frame-8263_P1,497.88,335,197
frame-8264,frame-8264_P1,593.62,334,202
frame-8265,frame-8265_P1,596.51,327,198
frame-8266,frame-8266_P1,386.07,293,223
frame-8267,frame-8267_P1,567.65,314,243
frame-8268,frame-8268_P1,583.26,286,220
frame-8269,frame-8269_P1,602.0,291,251
frame-8270,frame-8270_P1,212.94,352,140
frame-8270,frame-8270_P2,447.26,238,231
frame-8271,frame-8271_P1,229.06,339,167
frame-8271,frame-8271_P2,394.43,209,187
frame-8272,frame-8272_P1,461.04,230,145
frame-8273,frame-8273_P1,592.14,254,169
frame-8274,frame-8274_P1,580.86,250,165
frame-8275,frame-8275_P1,290.28,194,180
frame-8276,frame-8276_P1,376.2,214,195
